project_id,start_date,end_date,planned_duration_days,actual_duration_days,team_size,num_bugs,num_change_requests,delivery_delay_days,budget_overrun_pct,predicted_risk
P16299,2020-08-18,2021-01-19,113,154,20,6,12,41,-0.07,High
P50101,2024-01-04,2024-05-09,125,126,25,49,1,1,0.38,High
P47117,2023-09-17,2024-05-05,225,231,17,37,17,6,0.04,High
P17207,2020-09-20,2021-06-26,229,279,9,23,2,50,0.5,High
P18444,2020-11-04,2021-02-18,87,106,26,60,6,19,0.3,High
P36284,2022-08-17,2023-03-12,165,207,26,96,13,42,0.56,High
P29082,2021-11-27,2022-05-29,124,183,16,40,8,59,-0.02,High
P19503,2020-12-13,2021-05-22,121,160,12,57,11,39,0.53,High
P44558,2023-06-16,2023-10-29,147,135,17,59,9,-12,0.08,Low
P32390,2022-03-28,2022-09-21,142,177,15,16,18,35,0.25,High
P56260,2024-08-16,2025-03-06,160,202,25,3,3,42,-0.04,High
P20936,2021-02-03,2021-06-08,139,125,8,34,14,-14,0.25,High
P40605,2023-01-22,2023-08-24,191,214,27,28,6,23,0.47,High
P44662,2023-06-19,2024-03-21,223,276,11,99,16,53,0.28,High
P46108,2023-08-11,2024-03-13,215,215,19,66,6,0,0.5,High
P49811,2023-12-24,2024-04-25,150,123,10,28,11,-27,0.03,High
P16926,2020-09-09,2021-03-12,189,184,18,24,19,-5,0.15,High
P55022,2024-07-02,2025-01-29,236,211,19,38,6,-25,0.5,High
P12489,2020-03-31,2020-12-17,239,261,22,16,6,22,0.28,High
P34930,2022-06-29,2022-11-30,144,154,9,19,0,10,0.2,Medium
P44667,2023-06-20,2023-10-13,70,115,28,17,4,45,0.49,High
P10160,2020-01-06,2020-08-22,187,229,17,98,16,42,0.26,High
P25555,2021-07-22,2022-02-26,224,219,23,5,13,-5,0.45,High
P42355,2023-03-27,2023-10-14,156,201,23,0,8,45,0.49,High
P24398,2021-06-09,2021-09-21,97,104,25,73,19,7,-0.01,High
P16342,2020-08-19,2021-01-10,150,144,5,47,11,-6,0.27,High
P58356,2024-10-31,2025-05-06,133,187,25,1,6,54,-0.03,High
P39638,2022-12-18,2023-05-12,169,145,18,40,0,-24,0.03,Low
P16881,2020-09-08,2020-12-14,65,97,21,4,3,32,0.08,High
P56369,2024-08-20,2024-12-20,130,122,8,60,12,-8,0.36,High
P33988,2022-05-26,2022-07-15,77,50,17,20,3,-27,-0.01,Low
P22922,2021-04-16,2021-12-09,190,237,19,68,7,47,0.28,High
P48020,2023-10-20,2024-01-12,60,84,28,86,7,24,-0.09,Medium
P56952,2024-09-10,2024-12-27,126,108,14,45,10,-18,-0.02,Low
P28749,2021-11-15,2022-05-18,155,184,19,77,4,29,0.46,High
P10509,2020-01-19,2020-06-17,140,150,5,55,8,10,0.4,High
P22149,2021-03-19,2021-09-13,164,178,10,46,9,14,0.39,High
P43874,2023-05-22,2023-09-21,84,122,19,49,5,38,-0.06,High
P45129,2023-07-06,2023-12-31,202,178,5,53,8,-24,0.25,High
P37858,2022-10-14,2023-03-30,155,167,28,33,2,12,0.26,High
P11487,2020-02-24,2020-06-28,124,125,15,35,12,1,0.27,High
P47466,2023-09-30,2024-04-02,175,185,5,65,11,10,0.45,High
P17089,2020-09-15,2021-01-27,128,134,7,61,6,6,0.4,High
P12575,2020-04-04,2020-10-27,223,206,21,71,12,-17,0.1,High
P26501,2021-08-25,2022-01-31,161,159,5,85,2,-2,0.08,Low
P50070,2024-01-03,2024-08-22,209,232,13,99,11,23,0.22,High
P49177,2023-12-01,2024-03-18,99,108,27,44,8,9,0.46,High
P51256,2024-02-15,2024-06-29,144,135,19,30,3,-9,0.42,High
P22154,2021-03-19,2021-06-21,61,94,22,99,12,33,0.16,High
P59417,2024-12-09,2025-04-27,83,139,27,33,8,56,0.38,High
P14430,2020-06-10,2020-12-31,229,204,17,36,9,-25,0.5,High
P30338,2022-01-12,2022-08-20,227,220,5,7,17,-7,0.16,High
P41474,2023-02-23,2023-10-16,176,235,12,16,17,59,0.06,High
P26213,2021-08-15,2022-04-04,175,232,7,30,12,57,0.23,High
P49527,2023-12-14,2024-05-17,123,155,10,21,13,32,0.53,High
P49364,2023-12-08,2024-02-15,83,69,21,58,5,-14,0.11,Medium
P47854,2023-10-14,2024-03-08,168,146,20,17,4,-22,-0.02,Low
P23764,2021-05-17,2021-08-17,109,92,28,84,1,-17,0.52,High
P42151,2023-03-20,2023-09-14,204,178,5,54,14,-26,0.12,High
P51627,2024-02-29,2024-11-30,222,275,11,15,18,53,0.35,High
P15111,2020-07-05,2020-10-14,131,101,28,2,7,-30,0.06,Low
P13571,2020-05-10,2020-12-28,173,232,17,6,13,59,0.41,High
P38089,2022-10-22,2022-12-09,75,48,22,11,1,-27,-0.02,Low
P37431,2022-09-28,2023-03-14,192,167,11,15,1,-25,0.07,Low
P41493,2023-02-24,2023-12-03,235,282,27,90,12,47,0.27,High
P34079,2022-05-29,2022-10-18,167,142,20,80,9,-25,0.49,High
P20149,2021-01-05,2021-04-21,102,106,17,22,7,4,0.02,Low
P57699,2024-10-08,2025-01-12,92,96,10,31,5,4,0.1,Low
P22302,2021-03-25,2021-10-12,147,201,24,87,12,54,0.2,High
P18074,2020-10-21,2021-06-08,176,230,10,41,0,54,0.15,High
P28895,2021-11-21,2022-07-26,207,247,28,97,6,40,0.47,High
P12541,2020-04-02,2020-11-12,198,224,15,83,10,26,0.1,Medium
P53648,2024-05-13,2024-12-01,223,202,20,49,16,-21,0.36,High
P19462,2020-12-11,2021-05-29,188,169,21,98,16,-19,0.08,High
P29207,2021-12-02,2022-03-20,134,108,21,41,7,-26,0.38,High
P18891,2020-11-20,2021-07-24,235,246,9,68,19,11,0.11,High
P32001,2022-03-14,2022-10-12,223,212,16,34,12,-11,-0.1,High
P45165,2023-07-08,2023-10-31,125,115,10,77,6,-10,0.34,High
P34527,2022-06-14,2022-10-08,64,116,19,51,2,52,0.42,High
P33176,2022-04-26,2022-06-23,72,58,7,68,6,-14,0.47,High
P28038,2021-10-20,2022-06-25,224,248,11,20,16,24,0.44,High
P51753,2024-03-04,2024-09-19,206,199,13,56,17,-7,0.08,High
P15957,2020-08-05,2021-03-09,175,216,26,11,19,41,0.04,High
P33954,2022-05-24,2022-12-07,202,197,24,41,4,-5,0.23,High
P53386,2024-05-03,2024-10-30,196,180,19,98,16,-16,0.57,High
P28453,2021-11-04,2022-04-09,148,156,22,32,17,8,0.5,High
P25854,2021-08-01,2021-10-11,75,71,6,1,2,-4,0.31,High
P22277,2021-03-24,2021-09-27,151,187,15,16,5,36,0.47,High
P12850,2020-04-14,2020-12-05,213,235,14,19,10,22,0.05,Medium
P22651,2021-04-07,2021-07-03,74,87,29,99,18,13,-0.02,High
P57570,2024-10-03,2025-02-09,159,129,23,75,8,-30,0.4,High
P50173,2024-01-07,2024-07-13,208,188,17,46,2,-20,0.06,Low
P12767,2020-04-11,2020-10-18,149,190,27,86,8,41,0.43,High
P36928,2022-09-10,2023-03-21,151,192,8,60,13,41,0.43,High
P59709,2024-12-20,2025-08-20,239,243,6,32,9,4,0.4,High
P32374,2022-03-28,2022-10-08,178,194,6,16,7,16,0.53,High
P14518,2020-06-14,2020-12-21,192,190,20,31,2,-2,0.2,Medium
P54526,2024-06-14,2025-01-29,175,229,27,69,17,54,-0.09,High
P24698,2021-06-20,2021-12-18,199,181,9,30,6,-18,0.49,High
P45308,2023-07-13,2023-12-09,134,149,7,19,2,15,0.22,High
P42363,2023-03-27,2023-12-01,204,249,11,62,6,45,0.2,High
P21817,2021-03-07,2021-09-14,139,191,27,73,15,52,0.13,High
P22019,2021-03-14,2021-10-30,207,230,18,75,14,23,0.18,High
P58097,2024-10-22,2025-05-01,181,191,19,64,1,10,0.39,High
P26680,2021-09-01,2021-12-27,130,117,5,69,8,-13,-0.04,Low
P31267,2022-02-15,2022-06-06,60,111,17,72,0,51,0.46,High
P40554,2023-01-20,2023-07-13,180,174,5,38,15,-6,0.53,High
P11380,2020-02-20,2020-10-29,230,252,24,22,18,22,-0.05,High
P41673,2023-03-02,2023-09-26,221,208,18,7,9,-13,0.12,Medium
P32075,2022-03-17,2022-07-30,106,135,20,73,6,29,0.24,High
P39756,2022-12-22,2023-02-19,86,59,13,75,16,-27,0.49,High
P44234,2023-06-04,2024-02-29,221,270,7,15,4,49,0.33,High
P47739,2023-10-10,2024-05-25,189,228,6,38,11,39,0.59,High
P18033,2020-10-20,2021-03-03,105,134,11,79,12,29,0.04,High
P23164,2021-04-25,2021-08-21,127,118,6,53,17,-9,0.26,High
P42174,2023-03-21,2023-06-10,74,81,19,91,6,7,-0.01,Low
P30870,2022-02-01,2022-04-17,87,75,23,88,12,-12,0.47,High
P13150,2020-04-25,2020-08-08,112,105,25,84,12,-7,0.37,High
P50635,2024-01-24,2024-06-01,154,129,11,74,16,-25,0.04,High
P18464,2020-11-05,2021-04-26,153,172,29,31,4,19,0.53,High
P43137,2023-04-25,2023-09-19,118,147,14,60,3,29,0.5,High
P30297,2022-01-11,2022-10-25,234,287,10,56,9,53,0.04,High
P39434,2022-12-10,2023-07-10,197,212,17,21,7,15,0.38,High
P54879,2024-06-27,2024-09-26,61,91,28,44,0,30,0.56,High
P23239,2021-04-28,2022-01-06,214,253,8,58,7,39,-0.07,High
P50280,2024-01-11,2024-06-24,165,165,7,55,1,0,-0.02,Low
P36530,2022-08-26,2023-01-11,143,138,26,26,3,-5,0.03,Low
P26397,2021-08-21,2021-12-10,112,111,27,54,13,-1,0.22,High
P31127,2022-02-10,2022-09-02,154,204,8,40,8,50,0.49,High
P36107,2022-08-11,2023-02-12,199,185,11,25,16,-14,0.25,High
P43369,2023-05-03,2023-08-08,71,97,16,44,17,26,0.22,High
P23397,2021-05-04,2021-08-13,82,101,7,31,19,19,-0.02,High
P53196,2024-04-26,2024-09-13,84,140,5,4,5,56,0.01,High
P52079,2024-03-16,2024-06-28,99,104,20,8,15,5,-0.07,High
P30299,2022-01-11,2022-05-07,91,116,13,34,2,25,0.14,Medium
P48763,2023-11-16,2024-05-11,133,177,25,48,0,44,0.31,High
P52543,2024-04-02,2024-12-13,205,255,23,89,12,50,0.08,High
P16557,2020-08-27,2020-12-20,131,115,16,0,13,-16,0.53,High
P20571,2021-01-21,2021-08-05,220,196,14,26,15,-24,0.49,High
P45450,2023-07-18,2024-01-03,174,169,23,15,10,-5,0.38,High
P30446,2022-01-16,2022-07-26,157,191,16,47,1,34,0.28,High
P34354,2022-06-08,2022-12-23,200,198,23,69,4,-2,0.29,High
P29974,2021-12-30,2022-04-10,125,101,21,25,14,-24,0.3,High
P39288,2022-12-05,2023-05-17,178,163,29,42,8,-15,0.07,Low
P49430,2023-12-11,2024-06-26,161,198,18,46,17,37,0.01,High
P29477,2021-12-12,2022-05-08,90,147,10,72,19,57,0.47,High
P57123,2024-09-16,2025-05-04,198,230,16,38,8,32,0.16,High
P24303,2021-06-06,2022-01-12,222,220,19,58,8,-2,-0.02,Low
P29365,2021-12-08,2022-05-17,147,160,5,8,17,13,0.58,High
P41369,2023-02-19,2023-05-06,64,76,22,36,12,12,0.12,High
P37809,2022-10-12,2023-04-27,218,197,5,37,19,-21,0.45,High
P54295,2024-06-05,2024-07-17,63,42,26,46,9,-21,0.0,Low
P18906,2020-11-21,2021-06-24,186,215,27,4,9,29,0.0,Medium
P40821,2023-01-30,2023-04-08,95,68,25,4,14,-27,-0.07,High
P13324,2020-05-01,2020-10-05,110,157,12,38,7,47,0.31,High
P29654,2021-12-18,2022-07-23,220,217,17,15,4,-3,0.51,High
P25417,2021-07-17,2021-09-05,78,50,17,62,18,-28,0.2,High
P39729,2022-12-21,2023-08-25,208,247,12,52,0,39,0.34,High
P41291,2023-02-16,2023-08-21,192,186,18,53,18,-6,0.08,High
P24875,2021-06-27,2021-12-09,114,165,15,69,4,51,0.51,High
P52309,2024-03-25,2024-07-05,64,102,17,98,2,38,0.2,High
P20957,2021-02-04,2021-04-23,101,78,27,58,0,-23,0.26,High
P18832,2020-11-18,2021-05-21,138,184,5,76,0,46,0.6,High
P56655,2024-08-30,2025-04-25,233,238,18,26,10,5,0.43,High
P36128,2022-08-12,2023-03-02,162,202,7,52,15,40,0.24,High
P28689,2021-11-13,2022-05-24,148,192,13,57,15,44,0.1,High
P32016,2022-03-15,2022-06-19,60,96,23,39,7,36,-0.08,High
P26060,2021-08-09,2022-03-24,224,227,27,11,0,3,-0.08,Low
P49691,2023-12-20,2024-06-29,217,192,9,78,15,-25,0.44,High
P38306,2022-10-30,2023-05-01,151,183,12,13,5,32,0.29,High
P48049,2023-10-21,2024-04-30,140,192,18,81,13,52,0.38,High
P54019,2024-05-26,2024-12-22,179,210,26,91,1,31,0.42,High
P43148,2023-04-25,2023-11-09,161,198,20,29,2,37,0.33,High
P13199,2020-04-26,2020-12-13,209,231,27,51,6,22,0.43,High
P10466,2020-01-18,2020-05-03,69,106,27,48,5,37,0.1,High
P48185,2023-10-26,2024-02-24,102,121,5,53,12,19,0.37,High
P46296,2023-08-18,2023-12-25,118,129,10,64,4,11,0.47,High
P51900,2024-03-10,2024-06-22,110,104,17,66,15,-6,0.06,High
P51837,2024-03-07,2024-06-24,134,109,8,49,7,-25,0.14,Medium
P33527,2022-05-09,2022-11-21,141,196,10,83,14,55,0.07,High
P21515,2021-02-24,2021-11-21,238,270,14,44,11,32,0.39,High
P25879,2021-08-02,2022-03-25,232,235,21,68,3,3,0.38,High
P54059,2024-05-28,2024-10-07,151,132,23,22,1,-19,0.08,Low
P59997,2024-12-30,2025-06-06,121,158,20,94,15,37,0.53,High
P15984,2020-08-06,2020-12-24,147,140,29,82,1,-7,0.09,Low
P54119,2024-05-30,2024-08-20,95,82,5,16,5,-13,0.19,Medium
P28335,2021-10-31,2022-07-10,207,252,22,84,5,45,-0.09,High
P25760,2021-07-29,2022-01-18,146,173,11,21,11,27,0.31,High
P24845,2021-06-26,2022-01-04,179,192,6,19,5,13,0.55,High
P26302,2021-08-18,2022-02-05,181,171,8,20,14,-10,-0.04,High
P50365,2024-01-14,2024-08-01,157,200,21,49,9,43,0.05,High
P58276,2024-10-29,2025-07-01,212,245,14,46,12,33,-0.02,High
P25535,2021-07-21,2021-11-21,120,123,19,22,8,3,0.11,Medium
P18322,2020-10-30,2021-03-12,82,133,28,37,9,51,0.16,High
P53367,2024-05-02,2024-08-03,78,93,7,80,10,15,0.54,High
P49521,2023-12-14,2024-05-09,173,147,25,36,16,-26,0.24,High
P39731,2022-12-21,2023-07-15,191,206,7,90,18,15,0.13,High
P34277,2022-06-05,2022-10-28,116,145,10,89,12,29,0.56,High
P54987,2024-06-30,2024-10-09,107,101,9,63,2,-6,-0.0,Low
P39931,2022-12-29,2023-04-23,120,115,24,87,7,-5,0.17,Medium
P53559,2024-05-09,2024-12-09,227,214,13,53,0,-13,0.26,High
P50643,2024-01-24,2024-06-26,128,154,24,91,5,26,0.6,High
P31988,2022-03-14,2022-06-06,67,84,17,25,12,17,0.46,High
P15250,2020-07-10,2021-01-19,178,193,12,49,4,15,0.25,High
P34014,2022-05-27,2022-11-10,121,167,6,46,18,46,0.23,High
P11152,2020-02-12,2020-08-04,116,174,5,12,13,58,0.57,High
P23430,2021-05-05,2021-12-18,189,227,22,36,8,38,0.46,High
P13116,2020-04-23,2021-01-18,213,270,8,25,17,57,-0.01,High
P29890,2021-12-27,2022-07-08,181,193,27,95,12,12,0.21,High
P15492,2020-07-19,2021-01-25,176,190,25,83,15,14,-0.0,High
P35659,2022-07-26,2023-01-14,113,172,9,82,1,59,0.29,High
P59018,2024-11-25,2025-05-25,141,181,23,48,11,40,0.24,High
P23806,2021-05-19,2021-08-18,76,91,8,18,10,15,-0.05,Medium
P54290,2024-06-05,2024-10-01,82,118,19,19,5,36,0.35,High
P30030,2022-01-01,2022-06-29,175,179,9,51,19,4,0.5,High
P33456,2022-05-06,2022-07-26,83,81,26,40,19,-2,0.54,High
P30557,2022-01-20,2022-09-11,194,234,13,82,4,40,0.41,High
P48113,2023-10-23,2024-02-12,142,112,22,13,13,-30,0.44,High
P57984,2024-10-18,2025-03-17,144,150,24,50,2,6,0.35,High
P31570,2022-02-26,2022-04-20,78,53,14,35,8,-25,0.05,Low
P37693,2022-10-08,2023-03-06,147,149,20,23,17,2,0.17,High
P16552,2020-08-27,2021-06-05,235,282,28,71,1,47,-0.04,High
P40432,2023-01-16,2023-05-04,94,108,17,84,13,14,0.07,High
P29788,2021-12-23,2022-05-13,151,141,18,94,8,-10,0.11,Medium
P22692,2021-04-08,2021-12-11,222,247,16,19,7,25,0.55,High
P38962,2022-11-23,2023-02-10,91,79,28,84,4,-12,0.23,High
P55147,2024-07-06,2024-11-16,78,133,18,81,1,55,0.13,High
P48648,2023-11-12,2024-03-29,92,138,23,61,7,46,0.07,High
P52516,2024-04-01,2024-06-02,78,62,24,63,1,-16,0.27,High
P16149,2020-08-12,2021-04-10,226,241,26,72,16,15,0.54,High
P46101,2023-08-11,2024-01-24,151,166,5,11,17,15,0.47,High
P20629,2021-01-23,2021-08-20,186,209,7,12,3,23,0.05,Medium
P50779,2024-01-29,2024-09-07,192,222,6,90,2,30,0.36,High
P57027,2024-09-13,2025-02-12,137,152,18,3,3,15,0.04,Medium
P13093,2020-04-22,2020-09-17,158,148,5,69,18,-10,-0.05,High
P43513,2023-05-08,2023-10-14,169,159,14,62,9,-10,-0.09,Low
P45965,2023-08-06,2024-03-02,168,209,28,84,9,41,0.15,High
P11504,2020-02-24,2020-10-29,199,248,17,45,13,49,0.38,High
P49200,2023-12-02,2024-03-29,72,118,25,25,6,46,0.21,High
P47827,2023-10-13,2024-07-05,231,266,17,96,0,35,0.21,High
P20506,2021-01-18,2021-03-26,69,67,28,92,16,-2,0.05,High
P34098,2022-05-30,2023-01-28,231,243,6,79,0,12,-0.06,Medium
P18449,2020-11-04,2021-08-04,227,273,20,95,15,46,0.01,High
P51004,2024-02-06,2024-06-30,107,145,10,34,18,38,0.5,High
P37673,2022-10-07,2023-02-01,90,117,5,42,14,27,0.23,High
P31504,2022-02-24,2022-06-15,75,111,26,39,12,36,0.27,High
P14220,2020-06-03,2020-12-29,155,209,11,19,3,54,-0.02,High
P12496,2020-04-01,2020-10-16,172,198,14,57,8,26,0.19,Medium
P19475,2020-12-12,2021-06-28,169,198,29,57,2,29,0.06,Medium
P38943,2022-11-23,2023-06-24,171,213,17,8,13,42,0.17,High
P15676,2020-07-26,2020-10-11,68,77,25,10,13,9,0.5,High
P24705,2021-06-21,2021-10-29,80,130,21,40,17,50,0.46,High
P10170,2020-01-07,2020-08-14,196,220,18,23,16,24,0.06,High
P26470,2021-08-24,2022-02-02,170,162,6,49,16,-8,0.37,High
P54941,2024-06-29,2024-08-22,72,54,11,23,15,-18,0.08,High
P55125,2024-07-05,2025-04-01,225,270,23,25,1,45,-0.05,High
P40760,2023-01-28,2023-10-05,207,250,7,67,13,43,0.53,High
P10902,2020-02-02,2020-09-10,239,221,25,34,0,-18,0.01,Low
P13731,2020-05-16,2020-11-04,200,172,14,37,5,-28,-0.09,Low
P27736,2021-10-09,2022-07-20,232,284,11,31,7,52,-0.09,High
P52194,2024-03-20,2024-07-25,114,127,20,58,13,13,0.03,High
P29222,2021-12-03,2022-03-28,137,115,7,16,1,-22,0.39,High
P22945,2021-04-17,2021-11-17,205,214,8,6,13,9,0.47,High
