project_id,start_date,end_date,planned_duration_days,actual_duration_days,team_size,num_bugs,num_change_requests,delivery_delay_days,budget_overrun_pct,predicted_risk
P49808,2023-12-24,2024-06-22,198,181,20,42,13,-17,-0.04,High
P32683,2022-04-08,2022-07-21,119,104,23,5,9,-15,0.33,High
P51287,2024-02-16,2024-06-08,72,113,20,71,3,41,0.09,High
P36691,2022-09-01,2023-03-05,195,185,18,55,11,-10,-0.04,High
P15094,2020-07-05,2020-11-05,107,123,12,35,11,16,0.2,High
P38578,2022-11-09,2023-03-17,133,128,14,88,8,-5,0.5,High
P24372,2021-06-08,2021-12-11,203,186,25,24,15,-17,0.16,High
P35631,2022-07-25,2023-02-24,209,214,19,98,5,5,0.17,Medium
P52924,2024-04-16,2024-12-14,211,242,19,5,7,31,-0.09,High
P10918,2020-02-03,2020-07-27,154,175,24,68,4,21,0.13,Medium
P29765,2021-12-22,2022-07-31,205,221,29,56,8,16,0.47,High
P59570,2024-12-15,2025-03-21,92,96,27,55,11,4,0.55,High
P59860,2024-12-25,2025-04-19,127,115,24,36,11,-12,0.53,High
P11169,2020-02-12,2020-08-02,167,172,8,60,5,5,0.07,Low
P20253,2021-01-09,2021-07-23,173,195,27,18,7,22,0.48,High
P24121,2021-05-30,2021-08-20,83,82,25,26,18,-1,0.07,High
P43987,2023-05-26,2023-09-15,70,112,17,76,14,42,-0.06,High
P25265,2021-07-11,2021-09-10,80,61,16,23,6,-19,0.09,Low
P35111,2022-07-06,2022-12-03,142,150,5,19,7,8,0.17,Medium
P42115,2023-03-18,2023-08-27,155,162,24,14,12,7,0.12,High
P25941,2021-08-05,2022-02-15,171,194,24,73,19,23,0.56,High
P43651,2023-05-13,2024-02-13,234,276,27,23,2,42,0.14,High
P18988,2020-11-24,2021-07-31,229,249,19,16,6,20,0.27,High
P36218,2022-08-15,2023-01-04,147,142,6,87,16,-5,0.37,High
P27890,2021-10-15,2022-03-25,154,161,7,16,10,7,0.3,High
P46115,2023-08-11,2023-12-30,144,141,14,76,13,-3,0.46,High
P35931,2022-08-05,2022-12-28,159,145,29,47,7,-14,0.5,High
P53845,2024-05-20,2024-10-04,153,137,6,94,11,-16,0.5,High
P47611,2023-10-05,2024-04-06,208,184,20,92,16,-24,0.45,High
P17613,2020-10-05,2020-11-27,69,53,21,46,5,-16,0.32,High
P51629,2024-02-29,2024-06-26,86,118,6,64,1,32,0.51,High
P47629,2023-10-06,2024-02-11,134,128,6,97,2,-6,0.05,Low
P13238,2020-04-28,2020-07-11,94,74,24,95,14,-20,-0.05,High
P51482,2024-02-23,2024-06-05,71,103,29,85,17,32,-0.03,High
P13565,2020-05-10,2020-07-27,97,78,11,32,11,-19,-0.02,High
P22439,2021-03-30,2021-08-17,92,140,13,67,13,48,0.25,High
P18807,2020-11-17,2021-05-16,183,180,26,53,16,-3,0.13,High
P22661,2021-04-07,2021-10-12,166,188,24,40,19,22,0.2,High
P14130,2020-05-30,2020-11-23,162,177,10,43,1,15,0.09,Medium
P12855,2020-04-14,2021-01-13,224,274,13,39,15,50,0.28,High
P46192,2023-08-14,2023-12-12,135,120,19,22,7,-15,0.21,High
P52418,2024-03-29,2024-08-28,155,152,16,85,0,-3,0.22,High
P30284,2022-01-10,2022-05-03,114,113,12,84,15,-1,-0.02,High
P13135,2020-04-24,2021-02-09,234,291,10,16,15,57,0.19,High
P19833,2020-12-25,2021-03-25,62,90,19,25,10,28,0.54,High
P25064,2021-07-04,2021-12-31,181,180,25,80,17,-1,0.09,High
P40357,2023-01-13,2023-08-05,208,204,13,19,10,-4,0.5,High
P28946,2021-11-22,2022-06-30,161,220,11,64,2,59,-0.01,High
P26704,2021-09-02,2022-02-02,129,153,27,66,2,24,0.37,High
P20243,2021-01-09,2021-09-03,215,237,28,8,12,22,0.55,High
P17781,2020-10-11,2021-01-20,90,101,17,2,2,11,0.07,Medium
P43374,2023-05-03,2023-08-24,103,113,17,74,17,10,0.27,High
P25492,2021-07-19,2022-03-22,202,246,14,74,0,44,0.26,High
P28519,2021-11-07,2022-04-14,137,158,21,62,13,21,0.34,High
P31466,2022-02-22,2022-12-01,237,282,17,49,12,45,-0.02,High
P58346,2024-10-31,2025-03-19,166,139,25,15,4,-27,0.28,High
P41175,2023-02-12,2023-07-30,111,168,24,36,5,57,-0.01,High
P33570,2022-05-10,2023-01-19,233,254,18,83,2,21,0.02,Medium
P48002,2023-10-19,2024-03-02,127,135,6,29,11,8,0.05,High
P53925,2024-05-23,2025-02-16,219,269,11,43,8,50,0.46,High
P53304,2024-04-30,2024-12-08,235,222,27,29,2,-13,-0.04,Low
P12140,2020-03-19,2020-08-14,137,148,5,18,16,11,0.19,High
P24791,2021-06-24,2021-10-30,84,128,6,62,2,44,0.57,High
P46982,2023-09-12,2024-04-16,219,217,8,17,17,-2,0.16,High
P14464,2020-06-12,2021-02-24,233,257,6,18,19,24,0.44,High
P56190,2024-08-13,2025-01-26,170,166,7,61,4,-4,0.32,High
P22307,2021-03-25,2021-06-17,89,84,15,74,5,-5,0.59,High
P28439,2021-11-04,2022-05-19,205,196,6,58,3,-9,-0.08,Low
P22522,2021-04-02,2021-12-21,222,263,7,69,14,41,0.16,High
P25957,2021-08-05,2022-02-14,213,193,28,71,18,-20,0.25,High
P46014,2023-08-08,2023-12-06,69,120,21,42,5,51,0.16,High
P11916,2020-03-10,2020-09-17,159,191,18,80,10,32,0.02,High
P41184,2023-02-12,2023-07-18,184,156,26,12,2,-28,0.5,High
P58735,2024-11-14,2025-06-12,160,210,16,17,19,50,-0.07,High
P54190,2024-06-01,2024-11-19,127,171,27,93,11,44,0.13,High
P26303,2021-08-18,2022-05-30,230,285,19,33,2,55,-0.08,High
P31007,2022-02-06,2022-06-10,85,124,27,85,9,39,0.56,High
P10015,2020-01-01,2020-08-10,190,222,13,38,18,32,0.09,High
P28206,2021-10-26,2022-03-05,102,130,11,24,13,28,0.35,High
P47180,2023-09-19,2024-01-17,136,120,11,26,5,-16,0.52,High
P48673,2023-11-13,2024-04-02,114,141,10,27,16,27,0.38,High
P53097,2024-04-22,2025-01-05,230,258,12,72,10,28,0.3,High
P20940,2021-02-03,2021-05-14,118,100,19,74,11,-18,0.02,High
P16962,2020-09-11,2020-12-04,106,84,12,14,13,-22,0.34,High
P30286,2022-01-10,2022-07-28,147,199,21,63,12,52,0.32,High
P56326,2024-08-18,2025-03-12,176,206,18,32,12,30,0.35,High
P45014,2023-07-02,2024-04-20,235,293,7,26,1,58,0.2,High
P42203,2023-03-22,2023-09-12,190,174,27,49,16,-16,0.27,High
P28832,2021-11-18,2022-06-26,171,220,17,50,15,49,0.36,High
P39055,2022-11-27,2023-07-20,231,235,10,90,12,4,0.29,High
P46161,2023-08-13,2024-02-07,166,178,9,70,6,12,-0.02,Medium
P38003,2022-10-19,2023-03-05,122,137,13,59,16,15,-0.09,High
P46978,2023-09-12,2024-01-27,167,137,26,22,15,-30,0.58,High
P21962,2021-03-12,2021-09-03,156,175,15,28,17,19,0.36,High
P22584,2021-04-04,2021-07-30,73,117,16,22,2,44,0.58,High
P17013,2020-09-13,2021-03-03,193,171,28,89,1,-22,0.08,Low
P14320,2020-06-06,2020-10-25,128,141,7,16,11,13,-0.0,High
P34194,2022-06-02,2022-10-01,122,121,18,17,16,-1,0.53,High
P50050,2024-01-02,2024-06-19,139,169,21,99,17,30,0.48,High
P44595,2023-06-17,2023-12-07,146,173,15,86,4,27,0.25,High
P21999,2021-03-14,2021-10-10,176,210,19,80,7,34,0.03,High
P33609,2022-05-12,2022-09-09,129,120,10,25,6,-9,0.11,Medium
P36318,2022-08-19,2023-04-25,205,249,6,21,4,44,-0.03,High
P59198,2024-12-01,2025-05-17,166,167,17,1,6,1,0.1,Low
P49636,2023-12-18,2024-04-14,116,118,10,41,4,2,0.08,Low
P22476,2021-03-31,2021-11-11,175,225,27,56,7,50,-0.03,High
P30439,2022-01-16,2022-07-24,196,189,10,66,10,-7,-0.03,Low
P14025,2020-05-26,2020-09-18,93,115,9,73,12,22,0.15,High
P28597,2021-11-10,2022-04-09,171,150,15,37,0,-21,0.33,High
P47824,2023-10-13,2024-07-05,232,266,28,0,12,34,0.44,High
P38645,2022-11-12,2023-04-27,112,166,17,99,11,54,0.51,High
P44437,2023-06-11,2024-01-16,193,219,16,25,8,26,0.35,High
P25504,2021-07-20,2021-12-10,169,143,6,6,13,-26,-0.02,High
P12262,2020-03-23,2020-08-10,129,140,22,97,10,11,0.31,High
P47104,2023-09-17,2023-11-27,89,71,24,27,4,-18,0.15,Medium
P15469,2020-07-18,2021-02-28,191,225,15,4,8,34,0.24,High
P29338,2021-12-07,2022-06-09,194,184,17,28,16,-10,0.55,High
P44677,2023-06-20,2024-01-16,177,210,20,56,15,33,-0.01,High
P31773,2022-03-06,2022-10-14,171,222,25,94,8,51,0.24,High
P39927,2022-12-28,2023-04-20,75,113,27,73,16,38,0.55,High
P42225,2023-03-22,2023-10-18,210,210,29,6,19,0,0.26,High
P57279,2024-09-22,2025-02-14,134,145,7,43,1,11,0.01,Medium
P42726,2023-04-10,2023-09-21,176,164,7,11,7,-12,0.33,High
P20650,2021-01-23,2021-07-03,171,161,16,57,13,-10,0.27,High
P30521,2022-01-19,2022-08-14,151,207,24,30,13,56,0.46,High
P49363,2023-12-08,2024-07-07,154,212,10,15,5,58,0.56,High
P17752,2020-10-10,2021-04-10,143,182,8,87,1,39,0.54,High
P50438,2024-01-16,2024-05-13,123,118,16,79,19,-5,0.05,High
P11041,2020-02-08,2020-08-07,204,181,20,85,5,-23,0.12,Medium
P16919,2020-09-09,2021-03-02,147,174,24,10,12,27,0.1,High
P48314,2023-10-31,2024-06-25,180,238,9,42,13,58,-0.02,High
P57020,2024-09-13,2025-02-24,126,164,23,50,13,38,-0.06,High
P11844,2020-03-08,2020-07-23,100,137,18,84,18,37,0.24,High
P47643,2023-10-06,2024-05-05,192,212,26,91,17,20,0.54,High
P42060,2023-03-16,2023-07-13,146,119,22,90,5,-27,0.1,Low
P18963,2020-11-23,2021-06-30,199,219,10,54,1,20,-0.02,Medium
P17315,2020-09-24,2021-03-20,144,177,23,6,17,33,0.49,High
P57004,2024-09-12,2025-03-14,209,183,19,77,2,-26,0.59,High
P58154,2024-10-24,2025-05-07,169,195,7,39,1,26,0.31,High
P12737,2020-04-09,2020-08-20,89,133,10,46,4,44,0.01,High
P11072,2020-02-09,2020-04-20,97,71,24,67,9,-26,0.34,High
P50714,2024-01-26,2024-06-25,136,151,27,60,14,15,0.53,High
P41738,2023-03-05,2023-10-19,175,228,20,9,9,53,-0.04,High
P30623,2022-01-23,2022-08-25,158,214,27,47,10,56,0.58,High
P47654,2023-10-07,2024-02-27,95,143,25,31,4,48,0.36,High
P29297,2021-12-05,2022-06-02,198,179,26,55,11,-19,-0.08,High
P55313,2024-07-12,2025-01-05,139,177,6,73,15,38,0.36,High
P27990,2021-10-19,2022-04-11,125,174,29,14,8,49,0.21,High
P19530,2020-12-14,2021-06-09,196,177,18,34,14,-19,0.1,High
P42620,2023-04-06,2023-05-08,61,32,21,10,1,-29,0.56,High
P18766,2020-11-16,2021-08-21,222,278,11,37,6,56,0.57,High
P49650,2023-12-19,2024-03-03,87,75,21,30,6,-12,0.47,High
P49123,2023-11-29,2024-05-03,98,156,14,21,9,58,0.17,High
P44186,2023-06-02,2023-10-23,148,143,7,93,15,-5,0.01,High
P18474,2020-11-05,2021-02-20,86,107,7,60,8,21,0.01,Medium
P26725,2021-09-02,2021-12-24,72,113,11,6,18,41,0.28,High
P18225,2020-10-27,2021-07-27,222,273,7,11,19,51,0.48,High
P25769,2021-07-29,2021-11-29,108,123,12,67,19,15,-0.06,High
P24508,2021-06-13,2021-10-03,83,112,10,20,13,29,0.18,High
P20051,2021-01-02,2021-06-04,178,153,15,13,14,-25,0.36,High
P10747,2020-01-28,2020-10-21,221,267,12,36,0,46,0.37,High
P33744,2022-05-17,2022-09-20,129,126,15,55,13,-3,0.33,High
P27937,2021-10-17,2022-03-12,169,146,27,16,5,-23,0.55,High
P27453,2021-09-29,2022-02-10,146,134,14,8,2,-12,0.32,High
P56866,2024-09-07,2024-12-31,95,115,29,57,9,20,0.29,High
P25369,2021-07-15,2021-12-09,138,147,29,44,12,9,0.59,High
P17418,2020-09-27,2021-02-03,108,129,25,84,6,21,0.22,High
P37400,2022-09-27,2023-04-06,192,191,26,80,2,-1,0.38,High
P45023,2023-07-03,2023-11-07,137,127,20,33,16,-10,0.53,High
P21718,2021-03-03,2021-11-16,227,258,14,23,18,31,0.4,High
P55691,2024-07-26,2025-04-16,236,264,20,63,19,28,0.5,High
P25547,2021-07-21,2021-10-17,67,88,15,91,16,21,0.04,High
P16168,2020-08-13,2021-02-11,142,182,25,31,6,40,0.12,High
P29922,2021-12-28,2022-09-10,216,256,19,62,7,40,0.11,High
P25164,2021-07-07,2021-10-08,73,93,9,90,3,20,0.13,Medium
P14526,2020-06-14,2020-10-30,128,138,29,67,8,10,0.38,High
P45648,2023-07-25,2024-02-04,165,194,25,5,7,29,0.27,High
P57687,2024-10-07,2025-06-07,218,243,9,20,14,25,0.38,High
P59183,2024-12-01,2025-05-06,152,156,19,66,7,4,0.2,Medium
P28408,2021-11-03,2022-03-09,145,126,11,29,16,-19,0.24,High
P26368,2021-08-20,2022-05-31,233,284,18,74,1,51,0.17,High
P57511,2024-10-01,2024-11-15,64,45,26,68,7,-19,0.4,High
P53601,2024-05-11,2024-11-02,116,175,22,21,9,59,-0.0,High
P47301,2023-09-24,2024-01-11,98,109,24,61,1,11,0.38,High
P10380,2020-01-14,2020-07-12,125,180,11,23,12,55,0.11,High
P42590,2023-04-05,2023-09-12,150,160,26,72,17,10,0.55,High
P37098,2022-09-16,2023-04-04,215,200,7,32,0,-15,0.4,High
P56207,2024-08-14,2025-01-07,156,146,16,64,9,-10,0.03,Low
P10526,2020-01-20,2020-10-23,223,277,10,32,16,54,0.45,High
P29295,2021-12-05,2022-04-07,152,123,11,65,14,-29,0.53,High
P49608,2023-12-17,2024-03-24,111,98,7,54,10,-13,0.28,High
P59698,2024-12-20,2025-05-21,175,152,7,38,5,-23,0.25,High
P42539,2023-04-03,2023-07-01,63,89,9,29,4,26,-0.09,Medium
P42553,2023-04-03,2023-07-30,122,118,10,61,6,-4,0.52,High
P23522,2021-05-08,2021-11-16,208,192,14,85,7,-16,0.08,Low
P13158,2020-04-25,2020-09-27,169,155,14,88,13,-14,0.15,High
P28700,2021-11-13,2022-06-04,189,203,9,73,17,14,0.05,High
P15179,2020-07-08,2021-01-15,141,191,6,97,8,50,0.18,High
P15112,2020-07-05,2020-10-20,84,107,28,23,15,23,0.18,High
P18166,2020-10-25,2021-05-18,202,205,16,32,12,3,0.23,High
P25613,2021-07-24,2022-03-20,201,239,18,90,19,38,-0.08,High
P40111,2023-01-04,2023-06-21,133,168,5,33,4,35,0.6,High
P47063,2023-09-15,2024-01-17,114,124,5,65,1,10,0.55,High
P19877,2020-12-26,2021-03-25,114,89,15,73,16,-25,0.4,High
P46098,2023-08-11,2023-10-18,68,68,15,58,0,0,0.57,High
P32045,2022-03-16,2022-06-18,95,94,11,25,15,-1,0.41,High
P22812,2021-04-12,2021-08-23,123,133,23,35,1,10,0.32,High
P45288,2023-07-12,2024-01-29,187,201,22,8,16,14,0.5,High
P21880,2021-03-09,2021-08-01,96,145,20,16,12,49,0.5,High
P40338,2023-01-12,2023-05-19,136,127,29,62,19,-9,0.03,High
P53782,2024-05-17,2024-12-08,173,205,18,19,11,32,0.39,High
P50657,2024-01-24,2024-08-15,187,204,24,76,5,17,0.24,High
P14525,2020-06-14,2020-09-29,94,107,26,51,18,13,0.59,High
P45055,2023-07-04,2023-12-11,131,160,20,60,1,29,0.24,High
P10508,2020-01-19,2020-06-08,94,141,27,47,12,47,0.1,High
P55247,2024-07-10,2024-09-14,68,66,20,28,2,-2,0.56,High
P43544,2023-05-10,2023-11-15,195,189,25,63,13,-6,0.32,High
P45257,2023-07-11,2024-03-01,231,234,29,80,4,3,0.29,High
P28093,2021-10-22,2022-05-10,230,200,25,41,10,-30,0.37,High
P28011,2021-10-19,2022-05-10,204,203,10,50,17,-1,0.51,High
P55745,2024-07-28,2024-10-29,117,93,22,87,1,-24,0.58,High
P26367,2021-08-20,2022-03-01,144,193,6,61,0,49,0.38,High
P43578,2023-05-11,2023-09-22,120,134,27,97,14,14,0.34,High
P16677,2020-08-31,2021-01-26,123,148,29,71,16,25,0.34,High
P19732,2020-12-21,2021-05-24,164,154,13,34,11,-10,0.57,High
P21190,2021-02-12,2021-07-27,155,165,27,73,7,10,-0.08,Low
P22795,2021-04-12,2021-08-28,98,138,18,66,5,40,0.02,High
P12321,2020-03-25,2020-08-03,89,131,19,5,8,42,-0.03,High
P38670,2022-11-13,2023-05-20,143,188,8,91,17,45,0.59,High
P44071,2023-05-29,2024-01-30,234,246,16,79,5,12,0.24,High
P57823,2024-10-12,2025-03-16,182,155,25,1,1,-27,-0.06,Low
P20306,2021-01-11,2021-10-09,213,271,17,74,0,58,0.3,High
P42299,2023-03-25,2023-12-02,198,252,25,97,8,54,0.08,High
P58314,2024-10-30,2025-02-14,85,107,13,99,3,22,0.24,High
P23202,2021-04-27,2021-10-03,150,159,20,27,18,9,0.6,High
P10499,2020-01-19,2020-07-10,133,173,29,81,1,40,0.29,High
P38685,2022-11-13,2023-03-08,103,115,10,99,16,12,0.17,High
P57179,2024-09-19,2025-03-25,193,187,28,41,7,-6,0.41,High
P56427,2024-08-22,2024-12-25,69,125,16,32,10,56,0.5,High
P12878,2020-04-15,2020-09-16,140,154,21,80,9,14,-0.06,Medium
P35975,2022-08-06,2023-01-10,140,157,6,89,10,17,0.38,High
P52619,2024-04-05,2024-10-20,165,198,29,80,19,33,0.32,High
P44991,2023-07-01,2023-12-30,205,182,8,32,17,-23,0.18,High
